Scheme Name,Institution,Website,Objective,Eligibility,Coverage,Quantum of Financing,Tenure,Financing Rate
BUMIPUTERA ENTREPRENEUR PROJECT FUND-i,Credit Guarantee Corporation (CGC),https://www.cgc.com.my,"To provide financing to Bumiputera entrepreneurs who have been awarded contracts / projects by the Government, Government-related agencies, statutory bodies and reputable private / public companies but have been unsuccessful to obtain financing from financial institutions.","['Applicant must be a Bumiputera entrepreneur or a Bumiputera enterprise, which is wholly (100%) owned by Bumiputera.', 'Applicant must have a project / contract secured from the Government, Government bodies and agencies, statutory bodies and Government-owned companies.', 'Applicant is encouraged to be a member of any one of the following: Dewan Perniagaan Melayu Malaysia (DPMM), Persatuan Pedagang dan Pengusaha Melayu Malaysia (PERDASAMA), Persatuan Usahawan Wanita Bumiputera Melayu (USAHANITA), Dewan Usahawan Muda Bumiputera, Other bodies acknowledged by CGC.', 'For contractors, they must be registered with the Construction Industry Development Board (CIDB) and not blacklisted by CIDB while applicants from other sectors must at least register with Treasury or other bodies such as Tenaga Nasional, Telekom, Petronas, etc.', 'There must be no credit facilities granted by other FIs to finance the particular project / contract.']",To finance working capital and / or expansion in productive capacity,"['First time application: Up to RM3 million', 'Subsequent applications: Up to RM5 million']",Maximum of 5 years,"['First time financing: 5.0% per annum', 'Subsequent financing: BFR Maybank Islamic + 1.0% per annum']"
SPECIAL ASSISTANCE SCHEME,Credit Guarantee Corporation (CGC),https://www.cgc.com.my,,"['Must be an SME as defined by the National SME Development Council.', 'Business registered in Malaysia and is Malaysian-controlled and Malaysian-owned (at least 51% shareholding).', 'Open to CGC’s existing customers under Full Risk Scheme and Direct Financing.', 'Existing borrowers of CGC (Full Risk Scheme and Direct Financing) located in towns or districts defined as a disaster area by the National Security Council, Prime Minister’s Department or deemed as a disaster area by CGC.']",Working capital and / or asset acquisition: Repairs and purchases of assets for commercial use to replace those damaged during disaster and working capital only. The facility should not be used to refinance existing credit facility.,"['Minimum: RM20,000', 'Maximum: RM200,000']","Maximum up to 5 years, including moratorium period during the first 6 months, with profit servicing only",5.80% per annum
IKHTIAR FINANCING SCHEME,Amanah Ikhtiar Malaysia (AIM),http://www.aim.gov.my,To reduce poverty in Malaysia through the provision of interest free microcredit facilities to the poor and low-income households to finance income-generating activities and thus improve their standard of living.,"['Malaysians above 18 years old', 'Low-income households (below RM3,850 per month)']",,,"['Minimum: 25 weeks', 'Maximum: 250 weeks']",10% of annual competitive administration charge
SKIM PEMBIAYAAN EKONOMI DESA-i,Bank Kerjasama Rakyat Malaysia Berhad (BKR),http://www.bankrakyat.com.my,"['To increase the number of rural Bumiputera entrepreneurs in all dynamic and legal economic areas.', 'To upgrade the business of rural Bumiputera entrepreneurs to be more dynamic, competitive and resilient.', 'To provide funding facilities for rural Bumiputera entrepreneurs in order to improve the rural economy.', 'To provide a collateral-free funding scheme at a low instalment rate.', 'To encourage the creation of Bumiputera Commercial and Industrial Community (BCIC) among rural residents.']","['100% Bumiputera', 'Age below 55 years old', 'Full-time entrepreneurs', 'Individuals / Business entities (Sole Proprietors / Partnerships / Sdn Bhd)']","To finance purchase of machinery & equipment, stocks or working capital and minor renovation of business premise.","['Minimum: RM 20,000', 'Maximum: RM 250,000 (operation - 3 years and below)', 'Maximum: RM 500,000 (operation - above 3 years)']","['Maximum: 5 years (operation - 3 years and below)', 'Maximum: 7 years (operation - above 3 years)']",5% per annum (monthly basis)
FUND FOR FOOD,Bank Negara Malaysia (BNM),http://www.bnm.gov.my,"['To increase the food production in the country.', 'To finance projects in the food sector at a reasonable cost.']","['Malaysian-owned companies (at least 51%) incorporated under the Companies Act 1965, Co-operative Societies Act 1993 and Societies Act 1966.', 'Citizens residing in Malaysia and entrepreneurs registered under the Companies Commission of Malaysia or any other registration authorities in Malaysia.', 'Investments must be in Malaysia.', 'Domestic oriented projects – at least one-half of the total production is sold in the domestic market.', 'Viable projects involving primary food production, integrated agriculture and processing and / or distribution of food.']",To finance working capital and / or expansion in production capacity.,"['Minimum: RM10,000 per group of customer.', 'Maximum: Not exceeding RM5 million per group of customer or up to 90% of the total project cost, whichever is lower.', 'Of the approved amount, only 30% is allowed for land purchase and the land use is only for primary food production activities.']",Maximum up to 8 years,Maximum up to 3.75% per annum
FUND FOR SMALL AND MEDIUM INDUSTRY 2,Bank Negara Malaysia (BNM),http://www.bnm.gov.my,To ensure eligible SMEs in both the export and domestic-oriented sectors have access to financing at reasonable cost.,"['SMEs as defined by the National SME Development Council.', ""Maximum shareholders' funds not exceeding RM2 million."", 'Shareholding by public-listed companies or Government-linked companies (if any) should not exceed 20%.', 'Malaysians residing in Malaysia and own minimum 51% shareholding incorporated under the Companies Act 1965, Co-operative Societies Act 1993, Societies Act 1966, registered with the Companies Commission of Malaysia or any other registration authorities in Malaysia.', 'Not more than 7 years in operation. However, participating financial institutions may consider cases of SMEs that have been in operation for more than 7 years, provided that the average net profit is marginal over the last 3 years (i.e. less than 5% net profit margin).']",To finance working capital and / or expansion in production capacity.,"['Minimum: RM50,000 per group of customer', 'Maximum: Not exceeding RM5 million per group of customer']",Maximum of 5 years,4% to 6% per annum
MICRO ENTERPRISE FUND,Bank Negara Malaysia (BNM),http://www.bnm.gov.my,To increase access to micro financing for micro enterprises with viable businesses.,"['Businesses classified as micro enterprises, as defined by the National SME Development Council.']",To finance working capital or capital expenditure purposes.,"Maximum: RM50,000 per micro enterprise",Maximum of 5 years,4% to 6% per annum
FOOD PARK/ INCUBATOR (EPP8),Bank Pertanian Malaysia Berhad (Agrobank),http://www.agrobank.com.my,To provide financing for the establishment and operation of food parks and incubators to promote the agriculture sector.,"['Malaysian citizens.', 'Registered businesses with relevant authorities.', 'Proposed projects must be viable and promote food production.']",Financing for the establishment and operation of food parks and incubators.,['Up to RM10 million'],Up to 10 years,4% to 6% per annum
MACHINERY AND EQUIPMENT FINANCING (MAEF-i),Bank Pertanian Malaysia Berhad (Agrobank),http://www.agrobank.com.my,To assist farmers in acquiring machinery and equipment for agricultural activities.,"['Malaysian citizens.', 'Farmers registered with the relevant authorities.', 'Able to provide collateral for financing.']",Financing for the purchase of machinery and equipment.,"['RM5,000 to RM500,000']",5 to 10 years,4% to 5% per annum
MASYARAKAT PERDAGANGAN & PERINDUSTRIAN BUMIPUTERA (MPPB-HUB),Bank Pertanian Malaysia Berhad (Agrobank),http://www.agrobank.com.my,To promote and support Bumiputera entrepreneurs in the business and industrial sectors.,"['Malaysian Bumiputera entrepreneurs.', 'Registered businesses.', 'Projects should contribute to community development.']",Financing for business operations and expansion.,['Up to RM5 million'],Up to 5 years,4% to 5% per annum
